Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_366:0000168,Mat_Date_ymd,,"Nursery evaluation, Trial evaluation",Maturity,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000170,Emer_DT_day,,"Nursery evaluation, Trial evaluation",Emergence,,,"IBP, IITA, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000172,Flw_DTFirst_day,,"Nursery evaluation, Trial evaluation",Flowering,,,"IBP, IITA","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut
CO_366:0000174,Flw_DTHalf_day,,"Nursery evaluation, Trial evaluation",Flowering,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000176,Mat_DT_day,,"Nursery evaluation, Trial evaluation",Maturity,,,"IBP, IPGRI, IITA, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000180,PedFlwN_Ct_flw,,"Nursery evaluation, Trial evaluation",,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut
CO_366:0000182,HSdAdjW_M_g,,Trial evaluation,Post-Harvest,,,"IBP, IITA, IPGRI, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000184,HSdDW_M_g,,Trial evaluation,Post-Harvest,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000186,SdMoist_M_pct,,Trial evaluation,Harvest,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000187,SdYAdjW_Cp_gm2,,Trial evaluation,Harvest,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000189,SdYFW_M_gplant,,Trial evaluation,Harvest,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000191,SdYFW_M_gplot,,Trial evaluation,Harvest,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000193,SdYAdjW_Cp_kgha,,Trial evaluation,Harvest,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000197,PlntLfN_Ct_lf,,"Nursery evaluation, Trial evaluation",,,,"IBP, UoN","Julian Pietragalla, Sean Mayes",,EN,Bambara groundnut
CO_366:0000200,BLng_M_mm,,"Nursery evaluation, Trial evaluation",Flowering,,,"IBP, IITA","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut
CO_366:0000203,IntNodeLng_M_mm,,Trial evaluation,Harvest,,,"IBP, IITA, UoN, IPGRI","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000206,PedLng_M_mm,,"Nursery evaluation, Trial evaluation",,,,"IBP, IPGRI, IITA, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000209,PetioLng_M_mm,,"Nursery evaluation, Trial evaluation",,,,"IBP, IPGRI, IITA, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000212,PLng_M_mm,,Trial evaluation,Post-Harvest,,,"IBP, IITA, IPGRI, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000215,PWid_M_mm,,Trial evaluation,Post-Harvest,,,"IBP, IITA, IPGRI, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000218,SdLng_M_mm,,Trial evaluation,Post-Harvest,,,"IBP, IITA, IPGRI, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
